employee_id,first_name,last_name,department,job_title,state,city,salary,benchmark_low,benchmark_mid,benchmark_high,salary_vs_market_pct,salary_band,source
EMP00037,Daniel,Burton,IT,Software Developer,New York,New York City,96947,85840.0,92899.0,100894.0,4.4,At Market,internal_quartiles
EMP00038,Erin,Carlson,Operations,Logistics Coordinator,New York,New York City,67437,59519.0,62932.0,66876.0,7.2,At Market,internal_quartiles
EMP00039,Patrick,Ferrell,Sales,Sales Consultant,Michigan,Detroit,116328,76535.0,86126.0,94266.0,35.1,Above Market,internal_quartiles
EMP00040,John,Tran,Operations,Logistics Coordinator,Virginia,Norfolk,67630,59519.0,62932.0,66876.0,7.5,At Market,internal_quartiles
EMP00041,Erin,Wilson,Operations,Logistics Coordinator,New York,New York City,53898,59519.0,62932.0,66876.0,-14.4,Below Market,internal_quartiles
EMP00042,Amanda,Adams,Sales,Sales Specialist,New York,New York City,61534,66553.0,75297.0,82716.0,-18.3,Below Market,internal_quartiles
EMP00043,Matthew,Carter,Marketing,SEO Specialist,New York,New York City,78184,63882.0,72329.0,81352.0,8.1,At Market,internal_quartiles
EMP00044,Shawn,Mckay,Operations,Inventory Specialist,New York,New York City,56559,58011.0,61491.0,64608.0,-8.0,At Market,internal_quartiles
EMP00045,Jennifer,Stanton,Customer Service,Support Specialist,New York,New York City,68635,58703.0,61705.0,64849.0,11.2,Above Market,internal_quartiles
EMP00046,Guy,Gaines,Sales,Sales Representative,New York,New York City,80367,62701.0,68153.0,74920.0,17.9,Above Market,internal_quartiles
EMP00047,Colleen,Skinner,Operations,Inventory Specialist,New York,New York City,63169,58011.0,61491.0,64608.0,2.7,At Market,internal_quartiles
EMP00048,Chelsea,Hernandez,Sales,Sales Consultant,Pennsylvania,Philadelphia,71142,76535.0,86126.0,94266.0,-17.4,Below Market,internal_quartiles
EMP00049,Evan,Ashley,Operations,Inventory Specialist,New York,New York City,58830,58011.0,61491.0,64608.0,-4.3,At Market,internal_quartiles
EMP00050,Alyssa,Smith,Customer Service,Customer Service Representative,Michigan,Grand Rapids,66218,57893.0,61136.0,64448.0,8.3,At Market,internal_quartiles
EMP00051,Tracy,Rodriguez,Marketing,SEO Specialist,New York,New York City,88887,63882.0,72329.0,81352.0,22.9,Above Market,internal_quartiles
EMP00052,Natasha,Decker,Sales,Sales Consultant,New York,New York City,72859,76535.0,86126.0,94266.0,-15.4,Below Market,internal_quartiles
EMP00053,John,Allen,Operations,Logistics Coordinator,New York,New York City,67630,59519.0,62932.0,66876.0,7.5,At Market,internal_quartiles
EMP00054,Stacey,Miller,Operations,Inventory Specialist,New York,New York City,61574,58011.0,61491.0,64608.0,0.1,At Market,internal_quartiles
EMP00055,Lisa,Spence,IT,Software Developer,New York,New York City,103756,85840.0,92899.0,100894.0,11.7,Above Market,internal_quartiles
EMP00056,Katie,Anderson,Operations,Logistics Coordinator,New York,New York City,63227,59519.0,62932.0,66876.0,0.5,At Market,internal_quartiles
EMP00057,Stacey,Martin,Operations,Inventory Specialist,New York,New York City,63680,58011.0,61491.0,64608.0,3.6,At Market,internal_quartiles
EMP00058,Monique,Henderson,Customer Service,Help Desk Technician,New York,New York City,90880,63087.0,72206.0,80071.0,25.9,Above Market,internal_quartiles
EMP00059,Sarah,Campos,Marketing,Content Creator,Pennsylvania,Philadelphia,52954,57959.0,60814.0,64409.0,-12.9,Below Market,internal_quartiles
EMP00060,James,Collins,Operations,Inventory Specialist,New York,New York City,64475,58011.0,61491.0,64608.0,4.9,At Market,internal_quartiles
EMP00061,Debra,Kim,Sales,Sales Specialist,Pennsylvania,Allentown,93238,66553.0,75297.0,82716.0,23.8,Above Market,internal_quartiles
EMP00062,Shannon,Wright,Operations,Inventory Specialist,Michigan,Grand Rapids,58713,58011.0,61491.0,64608.0,-4.5,At Market,internal_quartiles
EMP00063,Matthew,Chapman,IT,Software Developer,New York,New York City,91896,85840.0,92899.0,100894.0,-1.1,At Market,internal_quartiles
EMP00064,Brianna,Smith,Operations,Inventory Specialist,New York,New York City,71608,58011.0,61491.0,64608.0,16.5,Above Market,internal_quartiles
EMP00065,Crystal,Perez,Finance,Financial Analyst,New York,New York City,71404,58000.0,90000.0,140000.0,-20.7,Below Market,static
EMP00066,Anthony,Rivera,Operations,Logistics Coordinator,New York,New York City,59423,59519.0,62932.0,66876.0,-5.6,At Market,internal_quartiles
EMP00067,John,Caldwell,Operations,Operations Analyst,New York,New York City,64183,65500.0,73677.0,81564.0,-12.9,Below Market,internal_quartiles
EMP00068,Amber,Cummings,Operations,Operations Analyst,New York,New York City,76824,65500.0,73677.0,81564.0,4.3,At Market,internal_quartiles
EMP00069,Ashley,Kennedy,Finance,Accountant,New York,New York City,54093,50000.0,78000.0,120000.0,-30.6,Below Market,static
EMP00070,Thomas,Russell,Finance,Accountant,New York,New York City,95124,50000.0,78000.0,120000.0,22.0,Above Market,static
EMP00071,Collin,Jordan,Sales,Sales Specialist,New York,New York City,68345,66553.0,75297.0,82716.0,-9.2,At Market,internal_quartiles
EMP00072,Robert,Shields,Customer Service,Help Desk Technician,New York,New York City,61403,63087.0,72206.0,80071.0,-15.0,Below Market,internal_quartiles
EMP00073,Emily,Joyce,Operations,Inventory Specialist,New York,New York City,60320,58011.0,61491.0,64608.0,-1.9,At Market,internal_quartiles
EMP00074,Bruce,Chandler,Operations,Inventory Specialist,New York,New York City,55060,58011.0,61491.0,64608.0,-10.5,Below Market,internal_quartiles
EMP00075,Michelle,Wright,Operations,Operations Manager,New York,New York City,82834,65000.0,98000.0,155000.0,-15.5,Below Market,static
EMP00076,Amanda,Taylor,Finance,Financial Analyst,New York,New York City,76564,58000.0,90000.0,140000.0,-14.9,Below Market,static
EMP00077,Joshua,Wright,Finance,Accountant,New York,New York City,63056,50000.0,78000.0,120000.0,-19.2,Below Market,static
EMP00078,Charles,Morton,Finance,Accountant,New York,New York City,78616,50000.0,78000.0,120000.0,0.8,At Market,static
EMP00079,Andrea,Williams,Operations,Inventory Specialist,New York,New York City,57716,58011.0,61491.0,64608.0,-6.1,At Market,internal_quartiles
EMP00080,Mary,Novak,Operations,Logistics Coordinator,New York,New York City,61198,59519.0,62932.0,66876.0,-2.8,At Market,internal_quartiles
EMP00081,Karen,Young,IT,IT Support Specialist,New York,New York City,58331,58138.0,61217.0,64372.0,-4.7,At Market,internal_quartiles
EMP00082,Todd,Lewis,Operations,Logistics Coordinator,Ohio,Cincinnati,62398,59519.0,62932.0,66876.0,-0.8,At Market,internal_quartiles
EMP00083,Rachel,Martin,Sales,Sales Consultant,New York,New York City,94930,76535.0,86126.0,94266.0,10.2,Above Market,internal_quartiles
EMP00084,Tricia,Baker,Customer Service,Customer Service Representative,New York,New York City,59179,57893.0,61136.0,64448.0,-3.2,At Market,internal_quartiles
EMP00085,Kristen,Mitchell,Operations,Logistics Coordinator,North Carolina,Greensboro,74555,59519.0,62932.0,66876.0,18.5,Above Market,internal_quartiles
EMP00086,Susan,Cowan,Sales,Sales Manager,New York,New York City,74371,72000.0,110000.0,175000.0,-32.4,Below Market,static
EMP00087,Dorothy,Tucker,Marketing,SEO Specialist,New York,New York City,81253,63882.0,72329.0,81352.0,12.3,Above Market,internal_quartiles
EMP00088,Kenneth,Novak,Customer Service,Customer Service Representative,New York,New York City,56922,57893.0,61136.0,64448.0,-6.9,At Market,internal_quartiles
EMP00089,Jill,Brown,Marketing,Content Creator,New York,New York City,65108,57959.0,60814.0,64409.0,7.1,At Market,internal_quartiles
EMP00090,Brian,Silva,Operations,Logistics Coordinator,New York,New York City,61958,59519.0,62932.0,66876.0,-1.5,At Market,internal_quartiles
EMP00091,Samantha,Schmidt,Customer Service,Support Specialist,New York,New York City,55038,58703.0,61705.0,64849.0,-10.8,Below Market,internal_quartiles
EMP00092,Susan,Miller,HR,HR Coordinator,New York,New York City,63666,58623.0,62837.0,66760.0,1.3,At Market,internal_quartiles
EMP00093,Casey,Jones,Customer Service,Help Desk Technician,New York,New York City,58264,63087.0,72206.0,80071.0,-19.3,Below Market,internal_quartiles
EMP00094,Joe,Wilson,Sales,Sales Representative,New York,New York City,65128,62701.0,68153.0,74920.0,-4.4,At Market,internal_quartiles
EMP00095,Ashley,Riley,Sales,Sales Consultant,New York,New York City,69316,76535.0,86126.0,94266.0,-19.5,Below Market,internal_quartiles
EMP00096,Christine,Barnes,Operations,Inventory Specialist,New York,New York City,56431,58011.0,61491.0,64608.0,-8.2,At Market,internal_quartiles
EMP00097,Annette,Stewart,Sales,Sales Representative,New York,New York City,79043,62701.0,68153.0,74920.0,16.0,Above Market,internal_quartiles
EMP00098,James,Moran,Marketing,Marketing Coordinator,New York,New York City,59137,63341.0,69022.0,74031.0,-14.3,Below Market,internal_quartiles
EMP00099,Joseph,Anderson,IT,Software Developer,New York,New York City,89897,85840.0,92899.0,100894.0,-3.2,At Market,internal_quartiles
EMP00100,Kevin,Stewart,IT,Software Developer,New York,New York City,80501,85840.0,92899.0,100894.0,-13.3,Below Market,internal_quartiles
EMP00101,Shari,Smith,Operations,Operations Analyst,Michigan,Detroit,83772,65500.0,73677.0,81564.0,13.7,Above Market,internal_quartiles
EMP00102,Yolanda,Ferrell,Operations,Operations Analyst,New York,New York City,55106,65500.0,73677.0,81564.0,-25.2,Below Market,internal_quartiles
EMP00103,Amanda,Wagner,IT,Software Developer,New York,New York City,88492,85840.0,92899.0,100894.0,-4.7,At Market,internal_quartiles
EMP00104,Sarah,Ibarra,Customer Service,Help Desk Technician,New York,New York City,82441,63087.0,72206.0,80071.0,14.2,Above Market,internal_quartiles
EMP00105,John,Mitchell,Finance,Accountant,Michigan,Warren,85555,50000.0,78000.0,120000.0,9.7,At Market,static
EMP00106,Martha,Warner,Sales,Sales Consultant,New York,New York City,64372,76535.0,86126.0,94266.0,-25.3,Below Market,internal_quartiles
EMP00107,Tonya,Roman,Customer Service,Customer Service Representative,Michigan,Grand Rapids,63278,57893.0,61136.0,64448.0,3.5,At Market,internal_quartiles
EMP00108,Alan,Montoya,Marketing,Content Creator,Virginia,Virginia Beach,65358,57959.0,60814.0,64409.0,7.5,At Market,internal_quartiles
EMP00109,Sarah,Garcia,IT,System Administrator,Michigan,Grand Rapids,77267,76326.0,85660.0,93246.0,-9.8,At Market,internal_quartiles
EMP00110,Dennis,Wilson,Sales,Sales Representative,New York,New York City,51865,62701.0,68153.0,74920.0,-23.9,Below Market,internal_quartiles
EMP00111,Julia,Moore,IT,System Administrator,New York,New York City,92780,76326.0,85660.0,93246.0,8.3,At Market,internal_quartiles
EMP00112,Cassandra,Robbins,Customer Service,Customer Service Representative,Pennsylvania,Allentown,52588,57893.0,61136.0,64448.0,-14.0,Below Market,internal_quartiles
EMP00113,Grace,Farrell,Operations,Inventory Specialist,Michigan,Detroit,64186,58011.0,61491.0,64608.0,4.4,At Market,internal_quartiles
EMP00114,Tracy,Whitehead,Operations,Inventory Specialist,New York,New York City,61124,58011.0,61491.0,64608.0,-0.6,At Market,internal_quartiles
EMP00115,Brent,Walters,HR,Recruiter,New York,New York City,65797,61651.0,65886.0,70161.0,-0.1,At Market,internal_quartiles
EMP00116,Joshua,Smith,Sales,Sales Manager,Illinois,Aurora,114050,72000.0,110000.0,175000.0,3.7,At Market,static
EMP00117,David,Whitney,Customer Service,Help Desk Technician,New York,New York City,64313,63087.0,72206.0,80071.0,-10.9,Below Market,internal_quartiles
EMP00118,Joyce,Arnold,Customer Service,Support Specialist,Michigan,Grand Rapids,63557,58703.0,61705.0,64849.0,3.0,At Market,internal_quartiles
EMP00119,Ann,Rodriguez,Operations,Inventory Specialist,Michigan,Detroit,59128,58011.0,61491.0,64608.0,-3.8,At Market,internal_quartiles
EMP00120,Hannah,Hernandez,Customer Service,Support Specialist,New York,New York City,54770,58703.0,61705.0,64849.0,-11.2,Below Market,internal_quartiles
EMP00121,Mary,Aguilar,Customer Service,Support Specialist,New York,New York City,64438,58703.0,61705.0,64849.0,4.4,At Market,internal_quartiles
EMP00122,Russell,Williams,HR,Recruiter,New York,New York City,58119,61651.0,65886.0,70161.0,-11.8,Below Market,internal_quartiles
EMP00123,Rachel,Flynn,Customer Service,Help Desk Technician,North Carolina,Raleigh,82922,63087.0,72206.0,80071.0,14.8,Above Market,internal_quartiles
EMP00124,Bill,Howard,Marketing,Marketing Coordinator,New York,New York City,74811,63341.0,69022.0,74031.0,8.4,At Market,internal_quartiles
EMP00125,John,Garcia,Finance,Financial Analyst,North Carolina,Greensboro,93475,58000.0,90000.0,140000.0,3.9,At Market,static
EMP00126,Anita,Baxter,Customer Service,Customer Service Representative,Ohio,Cleveland,59676,57893.0,61136.0,64448.0,-2.4,At Market,internal_quartiles
EMP00127,Kara,Frost,Sales,Sales Representative,New York,New York City,77283,62701.0,68153.0,74920.0,13.4,Above Market,internal_quartiles
EMP00128,Michelle,Cherry,Marketing,Content Creator,New York,New York City,62224,57959.0,60814.0,64409.0,2.3,At Market,internal_quartiles
EMP00129,Gregory,Gutierrez,Operations,Logistics Coordinator,New York,New York City,68683,59519.0,62932.0,66876.0,9.1,At Market,internal_quartiles
EMP00130,Jill,Cook,Customer Service,Customer Service Representative,New York,New York City,63830,57893.0,61136.0,64448.0,4.4,At Market,internal_quartiles
EMP00131,Robert,Santiago,Sales,Sales Specialist,New York,New York City,75850,66553.0,75297.0,82716.0,0.7,At Market,internal_quartiles
EMP00132,Lisa,Adams,Customer Service,Help Desk Technician,New York,New York City,82965,63087.0,72206.0,80071.0,14.9,Above Market,internal_quartiles
EMP00133,Jacqueline,Reyes,Operations,Logistics Coordinator,New York,New York City,54011,59519.0,62932.0,66876.0,-14.2,Below Market,internal_quartiles
EMP00134,Michele,Walker,Sales,Sales Representative,New York,New York City,80131,62701.0,68153.0,74920.0,17.6,Above Market,internal_quartiles
EMP00135,Samantha,Bailey,Operations,Inventory Specialist,New York,New York City,55778,58011.0,61491.0,64608.0,-9.3,At Market,internal_quartiles
EMP00136,Laura,Perez,Sales,Sales Consultant,New York,New York City,88444,76535.0,86126.0,94266.0,2.7,At Market,internal_quartiles
EMP00137,Donna,Ross,Sales,Sales Representative,New York,New York City,75303,62701.0,68153.0,74920.0,10.5,Above Market,internal_quartiles
EMP00138,Michelle,Rasmussen,IT,Software Developer,North Carolina,Greensboro,98297,85840.0,92899.0,100894.0,5.8,At Market,internal_quartiles
EMP00139,Michael,Hicks,Sales,Sales Representative,Illinois,Chicago,65506,62701.0,68153.0,74920.0,-3.9,At Market,internal_quartiles
EMP00140,Tina,Herrera,Finance,Financial Analyst,New York,New York City,86731,58000.0,90000.0,140000.0,-3.6,At Market,static
EMP00141,Darrell,Waller,Sales,Sales Representative,New York,New York City,78643,62701.0,68153.0,74920.0,15.4,Above Market,internal_quartiles
EMP00142,Beverly,Terrell,Customer Service,Customer Service Representative,Michigan,Warren,64159,57893.0,61136.0,64448.0,4.9,At Market,internal_quartiles
EMP00143,Daniel,Hamilton,Sales,Sales Representative,New York,New York City,66358,62701.0,68153.0,74920.0,-2.6,At Market,internal_quartiles
EMP00144,Kristin,Graham,Operations,Inventory Specialist,Michigan,Warren,57185,58011.0,61491.0,64608.0,-7.0,At Market,internal_quartiles
EMP00145,Darrell,Lam,IT,IT Support Specialist,New York,New York City,57924,58138.0,61217.0,64372.0,-5.4,At Market,internal_quartiles
EMP00146,Jonathan,Fletcher,Operations,Inventory Specialist,New York,New York City,57730,58011.0,61491.0,64608.0,-6.1,At Market,internal_quartiles
EMP00147,April,Drake,Operations,Inventory Specialist,New York,New York City,56753,58011.0,61491.0,64608.0,-7.7,At Market,internal_quartiles
EMP00148,Jennifer,Harmon,Sales,Sales Representative,New York,New York City,62015,62701.0,68153.0,74920.0,-9.0,At Market,internal_quartiles
EMP00149,James,Reynolds,Operations,Operations Analyst,New York,New York City,82241,65500.0,73677.0,81564.0,11.6,Above Market,internal_quartiles
EMP00150,Samantha,Hanson,Sales,Sales Consultant,New York,New York City,87980,76535.0,86126.0,94266.0,2.2,At Market,internal_quartiles
EMP00151,Melanie,Cortez,Sales,Sales Representative,New York,New York City,68240,62701.0,68153.0,74920.0,0.1,At Market,internal_quartiles
EMP00152,William,Estrada,Operations,Operations Manager,New York,New York City,109148,65000.0,98000.0,155000.0,11.4,Above Market,static
EMP00153,Richard,Phillips,Operations,Operations Analyst,New York,New York City,77304,65500.0,73677.0,81564.0,4.9,At Market,internal_quartiles
EMP00154,James,Ortega,Sales,Sales Specialist,New York,New York City,71634,66553.0,75297.0,82716.0,-4.9,At Market,internal_quartiles
EMP00155,Erica,Orr,IT,IT Support Specialist,New York,New York City,73488,58138.0,61217.0,64372.0,20.0,Above Market,internal_quartiles
EMP00156,Ashley,Sullivan,Operations,Inventory Specialist,New York,New York City,61678,58011.0,61491.0,64608.0,0.3,At Market,internal_quartiles
EMP00157,Aaron,Mitchell,IT,Software Developer,New York,New York City,94594,85840.0,92899.0,100894.0,1.8,At Market,internal_quartiles
EMP00158,Kristi,Lawson,Operations,Inventory Specialist,Michigan,Detroit,76197,58011.0,61491.0,64608.0,23.9,Above Market,internal_quartiles
EMP00159,Steven,Ramos,Operations,Logistics Coordinator,New York,New York City,60859,59519.0,62932.0,66876.0,-3.3,At Market,internal_quartiles
EMP00160,William,Leon,Marketing,Content Creator,New York,New York City,52939,57959.0,60814.0,64409.0,-12.9,Below Market,internal_quartiles
EMP00161,Jill,Hopkins,Sales,Sales Specialist,New York,New York City,62230,66553.0,75297.0,82716.0,-17.4,Below Market,internal_quartiles
EMP00162,Zachary,Schultz,IT,IT Support Specialist,New York,New York City,68297,58138.0,61217.0,64372.0,11.6,Above Market,internal_quartiles
EMP00163,Clarence,Crane,Operations,Inventory Specialist,New York,New York City,62190,58011.0,61491.0,64608.0,1.1,At Market,internal_quartiles
EMP00164,Emily,Walker,IT,Software Developer,North Carolina,Charlotte,96606,85840.0,92899.0,100894.0,4.0,At Market,internal_quartiles
EMP00165,Dylan,Williams,Operations,Inventory Specialist,New York,New York City,55854,58011.0,61491.0,64608.0,-9.2,At Market,internal_quartiles
EMP00166,Cheryl,Mack,Customer Service,Customer Service Representative,Ohio,Cleveland,54580,57893.0,61136.0,64448.0,-10.7,Below Market,internal_quartiles
EMP00167,Robert,Soto,Operations,Inventory Specialist,New York,New York City,58131,58011.0,61491.0,64608.0,-5.5,At Market,internal_quartiles
EMP00168,Jennifer,Cruz,Operations,Inventory Specialist,Ohio,Cincinnati,64260,58011.0,61491.0,64608.0,4.5,At Market,internal_quartiles
EMP00169,John,Douglas,Customer Service,Help Desk Technician,Michigan,Grand Rapids,63590,63087.0,72206.0,80071.0,-11.9,Below Market,internal_quartiles
EMP00170,Patricia,Dalton,Customer Service,Customer Service Representative,New York,New York City,63956,57893.0,61136.0,64448.0,4.6,At Market,internal_quartiles
EMP00171,Daniel,Coleman,Marketing,Content Creator,Michigan,Warren,67857,57959.0,60814.0,64409.0,11.6,Above Market,internal_quartiles
EMP00172,Linda,Dominguez,Customer Service,Customer Service Representative,New York,New York City,53458,57893.0,61136.0,64448.0,-12.6,Below Market,internal_quartiles
EMP00173,Brent,Wright,IT,System Administrator,New York,New York City,68344,76326.0,85660.0,93246.0,-20.2,Below Market,internal_quartiles
EMP00174,David,Anderson,Customer Service,Customer Service Manager,New York,New York City,67027,77342.0,84298.0,92631.0,-20.5,Below Market,internal_quartiles
EMP00175,Elizabeth,Travis,Sales,Sales Representative,New York,New York City,66258,62701.0,68153.0,74920.0,-2.8,At Market,internal_quartiles
EMP00176,Logan,Fischer,Sales,Sales Representative,New York,New York City,64327,62701.0,68153.0,74920.0,-5.6,At Market,internal_quartiles
EMP00177,Cheyenne,Ball,IT,Software Developer,Michigan,Grand Rapids,91360,85840.0,92899.0,100894.0,-1.7,At Market,internal_quartiles
EMP00178,Ronald,Meadows,Marketing,SEO Specialist,New York,New York City,73844,63882.0,72329.0,81352.0,2.1,At Market,internal_quartiles
EMP00179,Phyllis,Manning,Operations,Logistics Coordinator,New York,New York City,65413,59519.0,62932.0,66876.0,3.9,At Market,internal_quartiles
EMP00180,Shannon,Walton,IT,Software Developer,New York,New York City,95493,85840.0,92899.0,100894.0,2.8,At Market,internal_quartiles
EMP00181,Dana,Cannon,Sales,Sales Representative,Michigan,Grand Rapids,82548,62701.0,68153.0,74920.0,21.1,Above Market,internal_quartiles
EMP00182,Todd,Allen,Finance,Financial Analyst,New York,New York City,95235,58000.0,90000.0,140000.0,5.8,At Market,static
EMP00183,Chris,Mitchell,Marketing,SEO Specialist,New York,New York City,81450,63882.0,72329.0,81352.0,12.6,Above Market,internal_quartiles
EMP00184,Matthew,Orozco,Marketing,Content Creator,New York,New York City,58407,57959.0,60814.0,64409.0,-4.0,At Market,internal_quartiles
EMP00185,Devon,Hall,Sales,Sales Representative,New York,New York City,81959,62701.0,68153.0,74920.0,20.3,Above Market,internal_quartiles
EMP00186,Eric,Lewis,Sales,Sales Specialist,New York,New York City,74105,66553.0,75297.0,82716.0,-1.6,At Market,internal_quartiles
EMP00187,Rick,Daniels,Customer Service,Help Desk Technician,New York,New York City,78079,63087.0,72206.0,80071.0,8.1,At Market,internal_quartiles
EMP00188,Bryan,Wall,Customer Service,Customer Service Representative,Illinois,Naperville,60685,57893.0,61136.0,64448.0,-0.7,At Market,internal_quartiles
EMP00189,Rebecca,Silva,IT,System Administrator,New York,New York City,91983,76326.0,85660.0,93246.0,7.4,At Market,internal_quartiles
EMP00190,Andrew,Gilmore,Operations,Inventory Specialist,New York,New York City,68235,58011.0,61491.0,64608.0,11.0,Above Market,internal_quartiles
EMP00191,Omar,Smith,Sales,Sales Consultant,New York,New York City,96575,76535.0,86126.0,94266.0,12.1,Above Market,internal_quartiles
EMP00192,Kenneth,Price,Customer Service,Help Desk Technician,North Carolina,Charlotte,80107,63087.0,72206.0,80071.0,10.9,Above Market,internal_quartiles
EMP00193,Stephanie,Barnes,Sales,Sales Manager,Illinois,Naperville,111822,72000.0,110000.0,175000.0,1.7,At Market,static
EMP00194,Jessica,Marsh,Sales,Sales Consultant,New York,New York City,74894,76535.0,86126.0,94266.0,-13.0,Below Market,internal_quartiles
EMP00195,Jeffrey,Robinson,Customer Service,Customer Service Representative,New York,New York City,68170,57893.0,61136.0,64448.0,11.5,Above Market,internal_quartiles
EMP00196,Todd,Price,IT,IT Support Specialist,Michigan,Detroit,58120,58138.0,61217.0,64372.0,-5.1,At Market,internal_quartiles
EMP00197,Erin,Powell,Sales,Sales Consultant,New York,New York City,69351,76535.0,86126.0,94266.0,-19.5,Below Market,internal_quartiles
EMP00198,Mary,Calhoun,Operations,Inventory Specialist,New York,New York City,63090,58011.0,61491.0,64608.0,2.6,At Market,internal_quartiles
