employee_id,first_name,last_name,full_name,gender,birthdate,hiredate,termdate,department,job_title,state,city,education_level,salary,status,location,age,length_of_hire,attrition_risk_score,attrition_risk_label,top_factor_1,top_factor_2,top_factor_3,market_salary_mid,salary_vs_market_pct
EMP00063,Matthew,Chapman,Matthew Chapman,Female,1969-09-19,2024-03-30,,IT,Software Developer,New York,New York City,Bachelor,91896,Active,HQ,56,2,0.0,N/A,,,,,
EMP00064,Brianna,Smith,Brianna Smith,Male,1974-01-18,2022-10-02,,Operations,Inventory Specialist,New York,New York City,Bachelor,71608,Active,HQ,52,3,0.0,N/A,,,,,
EMP00065,Crystal,Perez,Crystal Perez,Female,1983-07-07,2017-12-18,,Finance,Financial Analyst,New York,New York City,Bachelor,71404,Active,HQ,42,8,0.0,N/A,,,,,
EMP00066,Anthony,Rivera,Anthony Rivera,Male,1992-02-04,2017-07-19,,Operations,Logistics Coordinator,New York,New York City,Bachelor,59423,Active,HQ,34,8,0.0,N/A,,,,,
EMP00067,John,Caldwell,John Caldwell,Female,1982-10-19,2019-03-25,,Operations,Operations Analyst,New York,New York City,Bachelor,64183,Active,HQ,43,7,0.0,N/A,,,,,
EMP00068,Amber,Cummings,Amber Cummings,Male,1986-07-11,2022-12-09,2023-07-06,Operations,Operations Analyst,New York,New York City,Master,76824,Terminated,HQ,39,0,0.0,N/A,,,,,
EMP00069,Ashley,Kennedy,Ashley Kennedy,Female,2003-03-24,2018-10-31,,Finance,Accountant,New York,New York City,Bachelor,54093,Active,HQ,23,7,0.0,N/A,,,,,
EMP00070,Thomas,Russell,Thomas Russell,Male,1964-01-04,2019-02-06,2021-05-03,Finance,Accountant,New York,New York City,Bachelor,95124,Terminated,HQ,62,2,0.0,N/A,,,,,
EMP00071,Collin,Jordan,Collin Jordan,Female,1965-09-13,2023-06-14,2023-11-12,Sales,Sales Specialist,New York,New York City,Master,68345,Terminated,HQ,60,0,0.0,N/A,,,,,
EMP00072,Robert,Shields,Robert Shields,Female,1978-07-29,2024-01-22,,Customer Service,Help Desk Technician,New York,New York City,Bachelor,61403,Active,HQ,47,2,0.0,N/A,,,,,
EMP00073,Emily,Joyce,Emily Joyce,Male,1988-08-29,2017-02-08,,Operations,Inventory Specialist,New York,New York City,Bachelor,60320,Active,HQ,37,9,0.0,N/A,,,,,
EMP00074,Bruce,Chandler,Bruce Chandler,Female,1966-01-29,2022-11-07,2023-06-05,Operations,Inventory Specialist,New York,New York City,High School,55060,Terminated,HQ,60,0,0.0,N/A,,,,,
EMP00075,Michelle,Wright,Michelle Wright,Male,1963-07-22,2017-03-15,2018-06-05,Operations,Operations Manager,New York,New York City,Master,82834,Terminated,HQ,62,1,0.0,N/A,,,,,
EMP00076,Amanda,Taylor,Amanda Taylor,Female,1988-07-10,2016-03-12,,Finance,Financial Analyst,New York,New York City,PhD,76564,Active,HQ,37,10,0.0,N/A,,,,,
EMP00077,Joshua,Wright,Joshua Wright,Male,1991-10-07,2020-12-24,,Finance,Accountant,New York,New York City,Bachelor,63056,Active,HQ,34,5,0.0,N/A,,,,,
EMP00078,Charles,Morton,Charles Morton,Male,1984-09-12,2017-11-29,,Finance,Accountant,New York,New York City,Bachelor,78616,Active,HQ,41,8,0.0,N/A,,,,,
EMP00079,Andrea,Williams,Andrea Williams,Male,1960-04-29,2016-07-28,,Operations,Inventory Specialist,New York,New York City,High School,57716,Active,HQ,65,9,0.0,N/A,,,,,
EMP00080,Mary,Novak,Mary Novak,Female,1981-06-12,2019-12-26,,Operations,Logistics Coordinator,New York,New York City,Bachelor,61198,Active,HQ,44,6,0.0,N/A,,,,,
EMP00081,Karen,Young,Karen Young,Male,2001-06-23,2020-06-06,2020-03-12,IT,IT Support Specialist,New York,New York City,Bachelor,58331,Terminated,HQ,24,0,0.0,N/A,,,,,
EMP00082,Todd,Lewis,Todd Lewis,Female,1966-02-24,2022-06-05,2024-06-11,Operations,Logistics Coordinator,Ohio,Cincinnati,Bachelor,62398,Terminated,Branch,60,2,0.0,N/A,,,,,
EMP00083,Rachel,Martin,Rachel Martin,Male,1984-08-25,2024-01-01,,Sales,Sales Consultant,New York,New York City,Bachelor,94930,Active,HQ,41,2,0.0,N/A,,,,,
EMP00084,Tricia,Baker,Tricia Baker,Female,1998-06-26,2017-11-01,2021-06-03,Customer Service,Customer Service Representative,New York,New York City,Bachelor,59179,Terminated,HQ,27,3,0.0,N/A,,,,,
EMP00085,Kristen,Mitchell,Kristen Mitchell,Male,1976-05-16,2017-09-28,2024-06-02,Operations,Logistics Coordinator,North Carolina,Greensboro,Bachelor,74555,Terminated,Branch,49,6,0.0,N/A,,,,,
EMP00086,Susan,Cowan,Susan Cowan,Male,1989-10-02,2015-08-04,,Sales,Sales Manager,New York,New York City,PhD,74371,Active,HQ,36,10,0.0,N/A,,,,,
EMP00087,Dorothy,Tucker,Dorothy Tucker,Female,1990-08-17,2016-03-14,2016-10-09,Marketing,SEO Specialist,New York,New York City,Bachelor,81253,Terminated,HQ,35,0,0.0,N/A,,,,,
EMP00088,Kenneth,Novak,Kenneth Novak,Female,1988-09-30,2017-08-13,2020-10-03,Customer Service,Customer Service Representative,New York,New York City,High School,56922,Terminated,HQ,37,3,0.0,N/A,,,,,
EMP00089,Jill,Brown,Jill Brown,Female,1982-06-13,2018-05-02,2020-12-03,Marketing,Content Creator,New York,New York City,Bachelor,65108,Terminated,HQ,43,2,0.0,N/A,,,,,
EMP00090,Brian,Silva,Brian Silva,Female,1975-10-31,2022-07-15,2023-11-01,Operations,Logistics Coordinator,New York,New York City,Bachelor,61958,Terminated,HQ,50,1,0.0,N/A,,,,,
EMP00091,Samantha,Schmidt,Samantha Schmidt,Female,1999-01-11,2020-01-23,,Customer Service,Support Specialist,New York,New York City,Bachelor,55038,Active,HQ,27,6,0.0,N/A,,,,,
EMP00092,Susan,Miller,Susan Miller,Female,2002-02-06,2017-03-14,,HR,HR Coordinator,New York,New York City,Master,63666,Active,HQ,24,9,0.0,N/A,,,,,
EMP00093,Casey,Jones,Casey Jones,Female,1979-11-09,2017-12-01,2021-11-02,Customer Service,Help Desk Technician,New York,New York City,High School,58264,Terminated,HQ,46,3,0.0,N/A,,,,,
EMP00094,Joe,Wilson,Joe Wilson,Male,2003-02-06,2017-12-12,,Sales,Sales Representative,New York,New York City,Bachelor,65128,Active,HQ,23,8,0.0,N/A,,,,,
EMP00095,Ashley,Riley,Ashley Riley,Male,1967-08-05,2022-01-16,,Sales,Sales Consultant,New York,New York City,Master,69316,Active,HQ,58,4,0.0,N/A,,,,,
EMP00096,Christine,Barnes,Christine Barnes,Male,1992-10-22,2017-08-15,2018-11-02,Operations,Inventory Specialist,New York,New York City,High School,56431,Terminated,HQ,33,1,0.0,N/A,,,,,
EMP00097,Annette,Stewart,Annette Stewart,Male,1997-06-19,2023-04-12,2023-09-10,Sales,Sales Representative,New York,New York City,Bachelor,79043,Terminated,HQ,28,0,0.0,N/A,,,,,
EMP00098,James,Moran,James Moran,Female,1988-10-29,2019-04-03,2024-03-09,Marketing,Marketing Coordinator,New York,New York City,Bachelor,59137,Terminated,HQ,37,4,0.0,N/A,,,,,
EMP00099,Joseph,Anderson,Joseph Anderson,Male,1982-12-23,2018-09-08,,IT,Software Developer,New York,New York City,Bachelor,89897,Active,HQ,43,7,0.0,N/A,,,,,
EMP00100,Kevin,Stewart,Kevin Stewart,Female,1984-08-31,2017-10-19,2021-02-02,IT,Software Developer,New York,New York City,Bachelor,80501,Terminated,HQ,41,3,0.0,N/A,,,,,
EMP00101,Shari,Smith,Shari Smith,Male,1984-04-05,2020-08-29,,Operations,Operations Analyst,Michigan,Detroit,Master,83772,Active,Branch,41,5,0.0,N/A,,,,,
EMP00102,Yolanda,Ferrell,Yolanda Ferrell,Male,1982-10-05,2020-01-29,,Operations,Operations Analyst,New York,New York City,Master,55106,Active,HQ,43,6,0.0,N/A,,,,,
EMP00103,Amanda,Wagner,Amanda Wagner,Male,1987-10-02,2017-02-21,,IT,Software Developer,New York,New York City,Bachelor,88492,Active,HQ,38,9,0.0,N/A,,,,,
EMP00104,Sarah,Ibarra,Sarah Ibarra,Male,1976-07-28,2018-12-08,,Customer Service,Help Desk Technician,New York,New York City,High School,82441,Active,HQ,49,7,0.0,N/A,,,,,
EMP00105,John,Mitchell,John Mitchell,Male,1962-09-27,2022-06-20,,Finance,Accountant,Michigan,Warren,Bachelor,85555,Active,Branch,63,3,0.0,N/A,,,,,
EMP00106,Martha,Warner,Martha Warner,Female,1989-08-01,2017-08-26,,Sales,Sales Consultant,New York,New York City,Bachelor,64372,Active,HQ,36,8,0.0,N/A,,,,,
EMP00107,Tonya,Roman,Tonya Roman,Female,1971-03-15,2018-07-24,,Customer Service,Customer Service Representative,Michigan,Grand Rapids,Bachelor,63278,Active,Branch,55,7,0.0,N/A,,,,,
EMP00108,Alan,Montoya,Alan Montoya,Male,1998-02-03,2024-04-26,,Marketing,Content Creator,Virginia,Virginia Beach,Bachelor,65358,Active,Branch,28,1,0.0,N/A,,,,,
EMP00109,Sarah,Garcia,Sarah Garcia,Male,1983-12-03,2017-12-08,2018-06-06,IT,System Administrator,Michigan,Grand Rapids,Bachelor,77267,Terminated,Branch,42,0,0.0,N/A,,,,,
EMP00110,Dennis,Wilson,Dennis Wilson,Female,2002-03-08,2023-02-11,2023-10-08,Sales,Sales Representative,New York,New York City,Bachelor,51865,Terminated,HQ,24,0,0.0,N/A,,,,,
EMP00111,Julia,Moore,Julia Moore,Male,1970-09-23,2017-04-20,,IT,System Administrator,New York,New York City,Master,92780,Active,HQ,55,8,0.0,N/A,,,,,
EMP00112,Cassandra,Robbins,Cassandra Robbins,Female,1992-05-05,2023-03-21,,Customer Service,Customer Service Representative,Pennsylvania,Allentown,Bachelor,52588,Active,Branch,33,3,0.0,N/A,,,,,
EMP00113,Grace,Farrell,Grace Farrell,Female,1972-06-23,2023-07-16,2024-12-01,Operations,Inventory Specialist,Michigan,Detroit,Bachelor,64186,Terminated,Branch,53,1,0.0,N/A,,,,,
EMP00114,Tracy,Whitehead,Tracy Whitehead,Male,1978-05-26,2017-11-25,,Operations,Inventory Specialist,New York,New York City,High School,61124,Active,HQ,47,8,0.0,N/A,,,,,
EMP00115,Brent,Walters,Brent Walters,Female,1982-07-17,2022-11-19,,HR,Recruiter,New York,New York City,High School,65797,Active,HQ,43,3,0.0,N/A,,,,,
EMP00116,Joshua,Smith,Joshua Smith,Female,2001-01-25,2023-10-27,,Sales,Sales Manager,Illinois,Aurora,Master,114050,Active,Branch,25,2,0.0,N/A,,,,,
EMP00117,David,Whitney,David Whitney,Female,1975-10-13,2020-03-03,,Customer Service,Help Desk Technician,New York,New York City,High School,64313,Active,HQ,50,6,0.0,N/A,,,,,
EMP00118,Joyce,Arnold,Joyce Arnold,Male,1989-09-11,2018-06-16,2022-07-04,Customer Service,Support Specialist,Michigan,Grand Rapids,Bachelor,63557,Terminated,Branch,36,4,0.0,N/A,,,,,
EMP00119,Ann,Rodriguez,Ann Rodriguez,Male,1985-11-29,2017-12-09,2019-12-06,Operations,Inventory Specialist,Michigan,Detroit,High School,59128,Terminated,Branch,40,1,0.0,N/A,,,,,
EMP00120,Hannah,Hernandez,Hannah Hernandez,Female,1989-02-28,2020-01-14,2020-12-07,Customer Service,Support Specialist,New York,New York City,High School,54770,Terminated,HQ,37,0,0.0,N/A,,,,,
EMP00121,Mary,Aguilar,Mary Aguilar,Male,2001-04-04,2019-02-27,,Customer Service,Support Specialist,New York,New York City,Bachelor,64438,Active,HQ,25,7,0.0,N/A,,,,,
EMP00122,Russell,Williams,Russell Williams,Female,1970-06-19,2023-05-22,,HR,Recruiter,New York,New York City,High School,58119,Active,HQ,55,2,0.0,N/A,,,,,
EMP00123,Rachel,Flynn,Rachel Flynn,Female,1976-05-21,2022-12-01,,Customer Service,Help Desk Technician,North Carolina,Raleigh,High School,82922,Active,Branch,49,3,0.0,N/A,,,,,
EMP00124,Bill,Howard,Bill Howard,Female,1972-02-23,2022-09-22,,Marketing,Marketing Coordinator,New York,New York City,Bachelor,74811,Active,HQ,54,3,0.0,N/A,,,,,
EMP00125,John,Garcia,John Garcia,Male,1982-11-22,2018-10-30,,Finance,Financial Analyst,North Carolina,Greensboro,PhD,93475,Active,Branch,43,7,0.0,N/A,,,,,
EMP00126,Anita,Baxter,Anita Baxter,Male,2002-01-06,2021-08-30,,Customer Service,Customer Service Representative,Ohio,Cleveland,High School,59676,Active,Branch,24,4,0.0,N/A,,,,,
EMP00127,Kara,Frost,Kara Frost,Male,1967-12-21,2022-04-02,,Sales,Sales Representative,New York,New York City,Bachelor,77283,Active,HQ,58,4,0.0,N/A,,,,,
EMP00128,Michelle,Cherry,Michelle Cherry,Male,1980-01-11,2022-11-11,2023-10-05,Marketing,Content Creator,New York,New York City,Bachelor,62224,Terminated,HQ,46,0,0.0,N/A,,,,,
EMP00129,Gregory,Gutierrez,Gregory Gutierrez,Male,1997-02-22,2020-03-10,2020-06-09,Operations,Logistics Coordinator,New York,New York City,Bachelor,68683,Terminated,HQ,29,0,0.0,N/A,,,,,
EMP00130,Jill,Cook,Jill Cook,Female,1967-01-18,2018-12-27,,Customer Service,Customer Service Representative,New York,New York City,High School,63830,Active,HQ,59,7,0.0,N/A,,,,,
EMP00131,Robert,Santiago,Robert Santiago,Male,1998-09-09,2021-10-13,2022-11-04,Sales,Sales Specialist,New York,New York City,Master,75850,Terminated,HQ,27,1,0.0,N/A,,,,,
EMP00132,Lisa,Adams,Lisa Adams,Male,1995-12-13,2017-11-02,,Customer Service,Help Desk Technician,New York,New York City,High School,82965,Active,HQ,30,8,0.0,N/A,,,,,
EMP00133,Jacqueline,Reyes,Jacqueline Reyes,Female,1973-12-15,2019-01-16,,Operations,Logistics Coordinator,New York,New York City,Bachelor,54011,Active,HQ,52,7,0.0,N/A,,,,,
EMP00134,Michele,Walker,Michele Walker,Male,1979-05-15,2018-11-14,2022-04-02,Sales,Sales Representative,New York,New York City,Bachelor,80131,Terminated,HQ,46,3,0.0,N/A,,,,,
EMP00135,Samantha,Bailey,Samantha Bailey,Female,2000-05-12,2020-11-14,,Operations,Inventory Specialist,New York,New York City,Bachelor,55778,Active,HQ,25,5,0.0,N/A,,,,,
EMP00136,Laura,Perez,Laura Perez,Male,1965-10-11,2016-01-10,,Sales,Sales Consultant,New York,New York City,PhD,88444,Active,HQ,60,10,0.0,N/A,,,,,
EMP00137,Donna,Ross,Donna Ross,Female,1969-11-06,2021-04-19,,Sales,Sales Representative,New York,New York City,Bachelor,75303,Active,HQ,56,4,0.0,N/A,,,,,
EMP00138,Michelle,Rasmussen,Michelle Rasmussen,Female,1999-10-23,2022-04-19,,IT,Software Developer,North Carolina,Greensboro,Master,98297,Active,Branch,26,3,0.0,N/A,,,,,
EMP00139,Michael,Hicks,Michael Hicks,Male,1999-01-14,2017-09-21,2024-01-04,Sales,Sales Representative,Illinois,Chicago,Bachelor,65506,Terminated,Branch,27,6,0.0,N/A,,,,,
EMP00140,Tina,Herrera,Tina Herrera,Male,1991-09-11,2021-01-11,2021-10-07,Finance,Financial Analyst,New York,New York City,PhD,86731,Terminated,HQ,34,0,0.0,N/A,,,,,
EMP00141,Darrell,Waller,Darrell Waller,Male,1973-12-07,2023-03-11,2023-07-09,Sales,Sales Representative,New York,New York City,Bachelor,78643,Terminated,HQ,52,0,0.0,N/A,,,,,
