employee_id,first_name,last_name,department,job_title,risk_score,risk_label,top_factor_1,top_factor_2,top_factor_3,age,length_of_hire,salary,model_version
EMP02371,Sharon,Palmer,Marketing,Content Creator,0.01,Low,Short Tenure,Length Of Hire,Year Hired,40.2,1.4,60110,XGBoost
EMP08468,Tamara,Bennett,Marketing,SEO Specialist,0.0099,Low,Short Tenure,Length Of Hire,Year Hired,53.8,9.3,59943,XGBoost
EMP01036,Danielle,Jones,Operations,Operations Analyst,0.0098,Low,Short Tenure,Length Of Hire,Year Hired,38.0,1.3,92159,XGBoost
EMP00824,John,Pierce,Sales,Sales Representative,0.0095,Low,Short Tenure,Length Of Hire,Year Hired,21.9,5.5,67970,XGBoost
EMP02346,Jared,Wells,Operations,Operations Analyst,0.0094,Low,Short Tenure,Length Of Hire,Year Hired,28.2,1.3,81564,XGBoost
EMP02081,Robert,Roberts,Operations,Inventory Specialist,0.0094,Low,Short Tenure,Length Of Hire,Year Hired,32.9,1.3,53735,XGBoost
EMP01804,Laura,Pierce,Sales,Sales Representative,0.0091,Low,Short Tenure,Length Of Hire,Year Hired,52.1,10.7,66229,XGBoost
EMP04895,David,Carson,Customer Service,Support Specialist,0.009,Low,Short Tenure,Length Of Hire,Year Hired,24.9,9.3,64380,XGBoost
EMP03834,Michael,Campbell,Finance,Financial Analyst,0.0089,Low,Short Tenure,Length Of Hire,Year Hired,58.5,1.3,96955,XGBoost
EMP02768,Christopher,Brown,Operations,Inventory Specialist,0.0088,Low,Short Tenure,Length Of Hire,Year Hired,58.6,9.3,61350,XGBoost
EMP03956,Nancy,Perez,HR,HR Coordinator,0.0088,Low,Short Tenure,Length Of Hire,Year Hired,27.2,1.3,69408,XGBoost
EMP00046,Guy,Gaines,Sales,Sales Representative,0.0088,Low,Short Tenure,Length Of Hire,Year Hired,23.5,9.3,80367,XGBoost
EMP07929,Michelle,Alexander,Sales,Sales Specialist,0.0087,Low,Short Tenure,Length Of Hire,Year Hired,43.2,10.7,68299,XGBoost
EMP04846,Susan,Henry,Sales,Sales Specialist,0.0086,Low,Short Tenure,Length Of Hire,Year Hired,64.8,1.4,103153,XGBoost
EMP00094,Joe,Wilson,Sales,Sales Representative,0.0084,Low,Short Tenure,Length Of Hire,Year Hired,23.2,8.3,65128,XGBoost
EMP05252,Paul,Garner,Sales,Sales Representative,0.0083,Low,Short Tenure,Length Of Hire,Year Hired,55.9,8.6,68393,XGBoost
EMP01930,Hector,Richards,Operations,Logistics Coordinator,0.0083,Low,Short Tenure,Length Of Hire,Year Hired,38.3,1.3,56320,XGBoost
EMP04007,David,Smith,Sales,Sales Representative,0.0083,Low,Short Tenure,Length Of Hire,Year Hired,55.8,8.4,68361,XGBoost
EMP07462,Andrew,Norton,Sales,Sales Representative,0.0081,Low,Short Tenure,Length Of Hire,Year Hired,23.2,8.6,69416,XGBoost
EMP02507,Donna,Thompson,IT,Software Developer,0.0079,Low,Short Tenure,Length Of Hire,Year Hired,47.7,1.3,105429,XGBoost
EMP04242,Martha,Dawson,Customer Service,Customer Service Representative,0.0077,Low,Short Tenure,Length Of Hire,Year Hired,49.9,1.4,66234,XGBoost
EMP08928,Benjamin,Mcknight,IT,Software Developer,0.0076,Low,Short Tenure,Length Of Hire,Year Hired,51.4,1.3,93533,XGBoost
EMP08820,Jackson,Shaw,Operations,Inventory Specialist,0.0076,Low,Short Tenure,Length Of Hire,Year Hired,60.9,1.3,63235,XGBoost
EMP00302,Brett,Adams,Sales,Sales Representative,0.0076,Low,Short Tenure,Length Of Hire,Year Hired,51.0,11.1,68009,XGBoost
EMP05574,Kimberly,Marshall,Sales,Sales Representative,0.0075,Low,Short Tenure,Length Of Hire,Year Hired,60.9,11.1,66498,XGBoost
EMP01427,Robert,Adkins,Sales,Sales Representative,0.0075,Low,Short Tenure,Length Of Hire,Year Hired,53.2,9.4,67488,XGBoost
EMP03549,Connor,Russell,Sales,Sales Representative,0.0075,Low,Short Tenure,Length Of Hire,Year Hired,38.6,8.5,67254,XGBoost
EMP02771,Angelica,Maxwell,Operations,Logistics Coordinator,0.0075,Low,Short Tenure,Length Of Hire,Year Hired,66.5,9.3,76759,XGBoost
EMP08465,Bill,Oneill,Customer Service,Support Specialist,0.0073,Low,Short Tenure,Length Of Hire,Year Hired,44.3,9.3,59898,XGBoost
EMP06603,Alejandra,Hansen,Operations,Inventory Specialist,0.0072,Low,Short Tenure,Length Of Hire,Year Hired,30.8,9.3,57260,XGBoost
EMP05931,Kristen,Sullivan,Sales,Sales Consultant,0.0071,Low,Short Tenure,Length Of Hire,Year Hired,66.0,1.4,86090,XGBoost
EMP06564,Joe,Tran,IT,Software Developer,0.0071,Low,Short Tenure,Length Of Hire,Year Hired,42.0,1.3,86737,XGBoost
EMP02496,John,Francis,IT,IT Support Specialist,0.007,Low,Short Tenure,Length Of Hire,Year Hired,61.5,1.4,64440,XGBoost
EMP04806,William,Russell,Sales,Sales Consultant,0.0069,Low,Short Tenure,Length Of Hire,Year Hired,44.7,1.4,89244,XGBoost
EMP04977,Stacey,Knight,Sales,Sales Specialist,0.0069,Low,Short Tenure,Length Of Hire,Year Hired,32.7,2.3,63928,XGBoost
EMP04741,Lisa,Fuller,Sales,Sales Consultant,0.0068,Low,Short Tenure,Length Of Hire,Year Hired,39.7,1.4,107745,XGBoost
EMP04220,James,Mitchell,IT,IT Support Specialist,0.0067,Low,Short Tenure,Length Of Hire,Year Hired,62.1,1.3,55709,XGBoost
EMP01051,Kyle,Kim,Sales,Sales Consultant,0.0067,Low,Short Tenure,Length Of Hire,Year Hired,37.5,10.4,67191,XGBoost
EMP07130,Jason,Miller,Sales,Sales Specialist,0.0067,Low,Short Tenure,Length Of Hire,Year Hired,38.4,7.3,68792,XGBoost
EMP08330,Benjamin,Cervantes,Sales,Sales Specialist,0.0066,Low,Short Tenure,Length Of Hire,Year Hired,23.3,10.7,68004,XGBoost
EMP05943,Melissa,Nelson,IT,IT Support Specialist,0.0066,Low,Short Tenure,Length Of Hire,Year Hired,37.1,9.3,64819,XGBoost
EMP08578,Kimberly,Copeland,Marketing,Content Creator,0.0064,Low,Short Tenure,Length Of Hire,Year Hired,39.7,1.4,57142,XGBoost
EMP04959,Alan,Atkins,Sales,Sales Specialist,0.0063,Low,Short Tenure,Length Of Hire,Year Hired,61.7,11.2,69185,XGBoost
EMP03968,Brandon,Pham,IT,Software Developer,0.0062,Low,Short Tenure,Length Of Hire,Year Hired,26.2,9.3,77263,XGBoost
EMP08572,Eric,Snow,Sales,Sales Consultant,0.0062,Low,Short Tenure,Length Of Hire,Year Hired,50.5,9.3,77107,XGBoost
EMP05569,Tonya,Marks,Customer Service,Customer Service Representative,0.0061,Low,Short Tenure,Length Of Hire,Year Hired,38.8,1.3,62167,XGBoost
EMP01528,Benjamin,Green,Operations,Inventory Specialist,0.006,Low,Short Tenure,Length Of Hire,Year Hired,25.6,9.3,66206,XGBoost
EMP05367,Rachel,Gray,IT,IT Support Specialist,0.006,Low,Short Tenure,Length Of Hire,Year Hired,32.3,9.3,62698,XGBoost
EMP06794,William,Rivera,Operations,Logistics Coordinator,0.006,Low,Short Tenure,Length Of Hire,Year Hired,44.6,9.3,59269,XGBoost
EMP02983,Karen,Singh,Sales,Sales Representative,0.0059,Low,Short Tenure,Length Of Hire,Year Hired,32.1,1.3,57156,XGBoost
EMP08348,Lori,Spencer,Sales,Sales Consultant,0.0058,Low,Short Tenure,Length Of Hire,Year Hired,52.7,7.5,68139,XGBoost
EMP08671,Deborah,Freeman,IT,IT Support Specialist,0.0057,Low,Short Tenure,Length Of Hire,Year Hired,41.4,1.3,58108,XGBoost
EMP03181,Jacob,Andersen,Customer Service,Support Specialist,0.0057,Low,Short Tenure,Length Of Hire,Year Hired,29.4,1.4,61604,XGBoost
EMP04902,Douglas,Harper,Sales,Sales Representative,0.0057,Low,Short Tenure,Length Of Hire,Year Hired,24.4,11.2,69884,XGBoost
EMP00967,Kimberly,Morrow,Sales,Sales Consultant,0.0057,Low,Short Tenure,Length Of Hire,Year Hired,27.3,5.9,67955,XGBoost
EMP08795,Eduardo,Davis,Sales,Sales Specialist,0.0056,Low,Short Tenure,Length Of Hire,Year Hired,31.0,10.0,67802,XGBoost
EMP08761,Holly,Robinson,Operations,Inventory Specialist,0.0055,Low,Short Tenure,Length Of Hire,Year Hired,27.8,4.6,61357,XGBoost
EMP05579,Robin,Brock,IT,System Administrator,0.0054,Low,Short Tenure,Length Of Hire,Year Hired,53.9,1.4,73573,XGBoost
EMP02561,Jeffrey,Vaughan,Sales,Sales Manager,0.0054,Low,Short Tenure,Length Of Hire,Year Hired,63.7,9.3,130513,XGBoost
EMP01276,Vanessa,Davidson,Sales,Sales Representative,0.0051,Low,Short Tenure,Length Of Hire,Year Hired,33.6,8.3,65057,XGBoost
EMP06767,Randall,Hall,Operations,Inventory Specialist,0.0051,Low,Short Tenure,Length Of Hire,Year Hired,60.1,2.4,63450,XGBoost
EMP04080,Isaac,Cannon,Sales,Sales Representative,0.0051,Low,Short Tenure,Length Of Hire,Year Hired,24.4,7.3,73327,XGBoost
EMP04129,Natalie,Pittman,Customer Service,Support Specialist,0.0051,Low,Short Tenure,Length Of Hire,Year Hired,36.4,9.3,62598,XGBoost
EMP06071,Kathleen,Bowen,Operations,Inventory Specialist,0.0051,Low,Short Tenure,Length Of Hire,Year Hired,25.4,1.3,58430,XGBoost
EMP08487,Adam,Collier,Customer Service,Help Desk Technician,0.005,Low,Short Tenure,Length Of Hire,Year Hired,35.0,1.4,71882,XGBoost
EMP06334,Lynn,Baker,Marketing,Content Creator,0.005,Low,Short Tenure,Length Of Hire,Year Hired,31.7,1.3,56856,XGBoost
EMP00675,Phillip,Jensen,Operations,Logistics Coordinator,0.005,Low,Short Tenure,Length Of Hire,Year Hired,23.9,8.4,63634,XGBoost
EMP07698,Courtney,Hartman,Sales,Sales Representative,0.005,Low,Short Tenure,Length Of Hire,Year Hired,29.2,5.9,67164,XGBoost
EMP02526,John,Ramirez,Sales,Sales Representative,0.0049,Low,Short Tenure,Length Of Hire,Year Hired,24.8,4.4,68793,XGBoost
EMP01069,Brandon,Cox,Sales,Sales Specialist,0.0049,Low,Short Tenure,Length Of Hire,Year Hired,31.1,7.3,65402,XGBoost
EMP08004,Joseph,Cortez,Sales,Sales Representative,0.0048,Low,Short Tenure,Length Of Hire,Year Hired,48.3,11.1,65728,XGBoost
EMP06203,Lauren,Nielsen,Sales,Sales Representative,0.0048,Low,Short Tenure,Length Of Hire,Year Hired,30.7,4.4,61171,XGBoost
EMP06549,Andrea,Johnson,Marketing,Content Creator,0.0048,Low,Short Tenure,Length Of Hire,Year Hired,28.0,9.3,53330,XGBoost
EMP07620,Jessica,Lang,Marketing,Marketing Coordinator,0.0047,Low,Short Tenure,Length Of Hire,Year Hired,23.0,9.3,79678,XGBoost
EMP07669,Alexandra,Miller,Sales,Sales Representative,0.0047,Low,Short Tenure,Length Of Hire,Year Hired,23.9,11.2,71097,XGBoost
EMP02843,Ryan,Bishop,IT,IT Support Specialist,0.0046,Low,Short Tenure,Length Of Hire,Year Hired,50.2,1.4,62378,XGBoost
EMP02833,Angela,Williams,IT,Software Developer,0.0046,Low,Short Tenure,Length Of Hire,Year Hired,43.3,1.4,87605,XGBoost
EMP07857,Vicki,Ingram,Sales,Sales Specialist,0.0046,Low,Short Tenure,Length Of Hire,Year Hired,39.8,9.8,68288,XGBoost
EMP04222,Michael,Wang,Sales,Sales Representative,0.0045,Low,Short Tenure,Length Of Hire,Year Hired,50.4,8.3,70984,XGBoost
EMP06270,Danielle,Richardson,Operations,Inventory Specialist,0.0045,Low,Short Tenure,Length Of Hire,Year Hired,51.4,1.3,65265,XGBoost
EMP08663,Erin,White,Marketing,Marketing Coordinator,0.0045,Low,Short Tenure,Length Of Hire,Year Hired,36.3,1.3,75163,XGBoost
EMP08940,Jonathan,Woodard,Sales,Sales Representative,0.0044,Low,Short Tenure,Length Of Hire,Year Hired,52.0,1.3,62697,XGBoost
EMP01191,Sherri,Martin,Finance,Accounts Payable Specialist,0.0044,Low,Short Tenure,Length Of Hire,Year Hired,42.7,9.3,62515,XGBoost
EMP05718,Brandon,White,Sales,Sales Specialist,0.0044,Low,Short Tenure,Length Of Hire,Year Hired,62.5,1.4,61138,XGBoost
EMP05980,Jeffery,Henderson,Sales,Sales Specialist,0.0044,Low,Short Tenure,Length Of Hire,Year Hired,52.2,10.4,87732,XGBoost
EMP04067,Kathy,Dawson,Sales,Sales Representative,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,29.0,4.8,66128,XGBoost
EMP06784,Andrea,Cross,Sales,Sales Representative,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,32.0,9.3,63681,XGBoost
EMP01913,Stephanie,Gonzales,Sales,Sales Representative,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,26.2,9.6,66461,XGBoost
EMP01925,Raymond,Torres,IT,System Administrator,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,34.0,1.4,67967,XGBoost
EMP05778,Brandon,Stanley,Operations,Logistics Coordinator,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,30.5,4.3,59931,XGBoost
EMP04847,Richard,Howard,Customer Service,Help Desk Technician,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,24.2,9.3,66342,XGBoost
EMP03136,Elizabeth,Hernandez,Sales,Sales Specialist,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,40.4,8.6,65542,XGBoost
EMP01942,Donna,Hernandez,Customer Service,Support Specialist,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,33.7,1.3,62333,XGBoost
EMP03072,Leslie,Price,Sales,Sales Specialist,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,40.5,4.8,66949,XGBoost
EMP00541,Shannon,Palmer,Finance,Accountant,0.0043,Low,Short Tenure,Length Of Hire,Year Hired,29.0,4.4,64667,XGBoost
EMP00303,Sara,Kim,Sales,Sales Representative,0.0042,Low,Short Tenure,Length Of Hire,Year Hired,42.0,7.5,68240,XGBoost
EMP01369,Diana,Smith,Operations,Operations Analyst,0.0042,Low,Short Tenure,Length Of Hire,Year Hired,24.3,9.3,79911,XGBoost
EMP07164,Christina,Caldwell,Sales,Sales Representative,0.0041,Low,Short Tenure,Length Of Hire,Year Hired,51.2,8.3,73580,XGBoost
EMP00701,Janet,Stewart,Operations,Logistics Coordinator,0.0041,Low,Short Tenure,Length Of Hire,Year Hired,27.7,10.9,63362,XGBoost
EMP01188,Jessica,Payne,Sales,Sales Representative,0.0041,Low,Short Tenure,Length Of Hire,Year Hired,48.0,10.3,67602,XGBoost
EMP01365,Cheryl,Huffman,Sales,Sales Representative,0.004,Low,Short Tenure,Length Of Hire,Year Hired,53.8,2.3,66958,XGBoost
EMP05052,Ryan,Roth,Operations,Inventory Specialist,0.004,Low,Short Tenure,Length Of Hire,Year Hired,46.7,7.3,63426,XGBoost
EMP08347,Bill,Palmer,Operations,Inventory Specialist,0.004,Low,Short Tenure,Length Of Hire,Year Hired,22.4,6.3,62338,XGBoost
EMP01038,Leslie,Hughes,Customer Service,Support Specialist,0.004,Low,Short Tenure,Length Of Hire,Year Hired,61.8,1.4,54694,XGBoost
EMP05265,Michael,Morales,IT,Software Developer,0.004,Low,Short Tenure,Length Of Hire,Year Hired,22.9,8.3,74367,XGBoost
EMP05203,Makayla,Sanders,Operations,Operations Analyst,0.0039,Low,Short Tenure,Length Of Hire,Year Hired,24.6,1.4,56530,XGBoost
EMP01719,Alan,Weeks,Sales,Sales Consultant,0.0039,Low,Short Tenure,Length Of Hire,Year Hired,44.4,7.5,68761,XGBoost
EMP03844,Marcus,Lane,Sales,Sales Representative,0.0039,Low,Short Tenure,Length Of Hire,Year Hired,66.7,3.5,68137,XGBoost
EMP06220,Raymond,Schultz,Sales,Sales Specialist,0.0039,Low,Short Tenure,Length Of Hire,Year Hired,45.5,10.5,63959,XGBoost
EMP00175,Elizabeth,Travis,Sales,Sales Representative,0.0039,Low,Short Tenure,Length Of Hire,Year Hired,23.4,4.6,66258,XGBoost
EMP06424,Elizabeth,Williamson,Operations,Operations Analyst,0.0039,Low,Short Tenure,Length Of Hire,Year Hired,61.5,9.3,70703,XGBoost
EMP08288,Victoria,Patterson,IT,IT Support Specialist,0.0039,Low,Short Tenure,Length Of Hire,Year Hired,43.0,1.4,57871,XGBoost
EMP07163,Angela,Aguirre,Marketing,Marketing Coordinator,0.0039,Low,Short Tenure,Length Of Hire,Year Hired,28.2,7.5,62222,XGBoost
EMP07535,Kristina,Todd,Customer Service,Customer Service Representative,0.0038,Low,Short Tenure,Length Of Hire,Year Hired,29.5,1.4,62110,XGBoost
EMP00892,Daniel,Torres,Sales,Sales Specialist,0.0038,Low,Short Tenure,Length Of Hire,Year Hired,29.3,9.8,66450,XGBoost
EMP01298,Sheryl,Jones,Operations,Inventory Specialist,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,45.4,2.3,64063,XGBoost
EMP08726,Victoria,Watson,Sales,Sales Consultant,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,31.0,1.7,67279,XGBoost
EMP06624,Becky,Martinez,HR,Recruiter,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,29.0,9.3,65416,XGBoost
EMP06569,James,Parker,Customer Service,Customer Service Representative,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,22.1,1.3,69549,XGBoost
EMP03141,Raymond,Willis,Sales,Sales Consultant,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,27.5,7.3,100870,XGBoost
EMP05316,Kristin,Pham,Sales,Sales Representative,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,40.6,10.5,72198,XGBoost
EMP01547,Desiree,Diaz,Operations,Inventory Specialist,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,54.9,10.6,63523,XGBoost
EMP07452,Lisa,Tyler,Operations,Inventory Specialist,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,35.4,1.4,64742,XGBoost
EMP02075,Daniel,Campbell,Sales,Sales Representative,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,38.5,4.2,67854,XGBoost
EMP06853,Edward,Shelton,Customer Service,Support Specialist,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,51.5,1.4,60137,XGBoost
EMP01289,Diane,Grant,Operations,Inventory Specialist,0.0037,Low,Short Tenure,Length Of Hire,Year Hired,55.2,10.9,63477,XGBoost
EMP02127,Thomas,Vaughan,Customer Service,Support Specialist,0.0036,Low,Short Tenure,Length Of Hire,Year Hired,23.2,1.3,59177,XGBoost
EMP04617,Jason,Davis,Sales,Sales Consultant,0.0036,Low,Short Tenure,Length Of Hire,Year Hired,25.2,10.7,72839,XGBoost
EMP00151,Melanie,Cortez,Sales,Sales Representative,0.0036,Low,Short Tenure,Length Of Hire,Year Hired,39.1,3.9,68240,XGBoost
EMP07410,Thomas,Smith,Sales,Sales Representative,0.0036,Low,Short Tenure,Length Of Hire,Year Hired,38.2,7.4,69280,XGBoost
EMP05741,Christopher,Perkins,Sales,Sales Specialist,0.0036,Low,Short Tenure,Length Of Hire,Year Hired,42.8,4.4,69838,XGBoost
EMP06618,Jasmine,Forbes,Operations,Inventory Specialist,0.0036,Low,Short Tenure,Length Of Hire,Year Hired,41.5,9.3,57586,XGBoost
EMP04673,Tony,Dunn,Operations,Inventory Specialist,0.0036,Low,Short Tenure,Length Of Hire,Year Hired,50.4,10.6,59759,XGBoost
EMP01707,Austin,Kelly,Operations,Inventory Specialist,0.0036,Low,Short Tenure,Length Of Hire,Year Hired,59.8,7.3,62493,XGBoost
EMP05304,Brittany,Castro,Sales,Sales Consultant,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,29.3,5.5,73304,XGBoost
EMP07266,Patricia,Nunez,IT,Software Developer,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,50.2,1.3,91252,XGBoost
EMP08636,Robert,Dunn,IT,Software Developer,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,45.3,1.4,95467,XGBoost
EMP06451,Sarah,Edwards,Operations,Operations Manager,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,22.8,7.3,102672,XGBoost
EMP01201,Kelly,Miller,Operations,Logistics Coordinator,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,26.0,2.4,63423,XGBoost
EMP00358,Randy,Smith,Customer Service,Help Desk Technician,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,53.8,9.3,72249,XGBoost
EMP07350,Fernando,Humphrey,Marketing,Content Creator,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,37.7,4.4,61638,XGBoost
EMP05394,Amanda,Lopez,Sales,Sales Representative,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,40.9,2.4,68112,XGBoost
EMP01584,Kayla,Bell,Sales,Sales Consultant,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,23.7,1.4,77635,XGBoost
EMP06172,Angela,Thomas,Sales,Sales Specialist,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,44.4,1.3,65111,XGBoost
EMP05485,Roy,Mosley,Operations,Logistics Coordinator,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,26.1,2.3,61798,XGBoost
EMP08074,Cory,Bailey,Customer Service,Customer Service Manager,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,49.8,9.3,75205,XGBoost
EMP01960,Heather,Larson,Marketing,Marketing Coordinator,0.0035,Low,Short Tenure,Length Of Hire,Year Hired,47.0,1.4,66772,XGBoost
EMP05400,Michael,Logan,Operations,Logistics Coordinator,0.0034,Low,Short Tenure,Length Of Hire,Year Hired,27.3,5.8,62935,XGBoost
EMP02421,Traci,Patterson,Operations,Inventory Specialist,0.0034,Low,Short Tenure,Length Of Hire,Year Hired,39.7,1.3,60313,XGBoost
EMP06562,Kenneth,Watson,Sales,Sales Consultant,0.0034,Low,Short Tenure,Length Of Hire,Year Hired,45.6,2.4,71187,XGBoost
EMP00232,Shannon,Christensen,Operations,Inventory Specialist,0.0034,Low,Short Tenure,Length Of Hire,Year Hired,30.0,5.7,62555,XGBoost
EMP01052,John,Sanchez,Marketing,Content Creator,0.0034,Low,Short Tenure,Length Of Hire,Year Hired,25.3,10.3,65703,XGBoost
EMP04338,Dennis,Mejia,Finance,Accountant,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,29.0,4.3,72721,XGBoost
EMP01059,David,Norman,Sales,Sales Specialist,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,36.1,4.0,66681,XGBoost
EMP02289,Kelly,Oliver,Operations,Inventory Specialist,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,26.7,8.4,62432,XGBoost
EMP05683,Edward,Smith,Sales,Sales Specialist,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,31.5,9.4,67947,XGBoost
EMP06807,Emily,Fitzgerald,Sales,Sales Representative,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,52.9,7.5,69055,XGBoost
EMP01529,Yolanda,Kennedy,Operations,Logistics Coordinator,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,23.5,2.4,63579,XGBoost
EMP08631,Nathan,Holden,Sales,Sales Representative,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,26.9,5.7,66155,XGBoost
EMP08646,Dana,Brown,Sales,Sales Representative,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,24.2,4.3,60094,XGBoost
EMP08878,Mario,Lewis,Sales,Sales Representative,0.0033,Low,Short Tenure,Length Of Hire,Year Hired,59.4,8.6,64330,XGBoost
