employee_id,first_name,last_name,department,job_title,state,review_date,review_year,performance,score,yoy_delta
EMP00008,Joshua,Booth,Finance,Accounts Payable Specialist,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00008,Joshua,Booth,Finance,Accounts Payable Specialist,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00009,Linda,Wolfe,Operations,Inventory Specialist,New York,2021-12-31,2021,Excellent,5.0,
EMP00009,Linda,Wolfe,Operations,Inventory Specialist,New York,2022-12-31,2022,Good,3.7,-1.3
EMP00009,Linda,Wolfe,Operations,Inventory Specialist,New York,2023-12-31,2023,Excellent,5.0,1.3
EMP00010,Joshua,Lewis,Operations,Logistics Coordinator,New York,2021-12-31,2021,Poor,1.0,
EMP00010,Joshua,Lewis,Operations,Logistics Coordinator,New York,2022-12-31,2022,Poor,1.0,0.0
EMP00010,Joshua,Lewis,Operations,Logistics Coordinator,New York,2023-12-31,2023,Poor,1.0,0.0
EMP00011,Matthew,Davis,Marketing,SEO Specialist,New York,2021-12-31,2021,Poor,1.0,
EMP00011,Matthew,Davis,Marketing,SEO Specialist,New York,2022-12-31,2022,Needs Improvement,1.7,0.7
EMP00011,Matthew,Davis,Marketing,SEO Specialist,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00012,Michael,Cooper,HR,Recruiter,New York,2021-12-31,2021,Excellent,5.0,
EMP00012,Michael,Cooper,HR,Recruiter,New York,2022-12-31,2022,Good,3.7,-1.3
EMP00012,Michael,Cooper,HR,Recruiter,New York,2023-12-31,2023,Excellent,5.0,1.3
EMP00013,Lindsay,Blair,Operations,Operations Analyst,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00013,Lindsay,Blair,Operations,Operations Analyst,New York,2022-12-31,2022,Needs Improvement,1.7,-0.7
EMP00013,Lindsay,Blair,Operations,Operations Analyst,New York,2023-12-31,2023,Satisfactory,3.0,1.3
EMP00014,David,Nielsen,Customer Service,Help Desk Technician,New York,2021-12-31,2021,Poor,1.4,
EMP00014,David,Nielsen,Customer Service,Help Desk Technician,New York,2022-12-31,2022,Satisfactory,2.7,1.3
EMP00014,David,Nielsen,Customer Service,Help Desk Technician,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00015,Andrea,Calderon,IT,IT Support Specialist,Michigan,2021-12-31,2021,Poor,1.4,
EMP00015,Andrea,Calderon,IT,IT Support Specialist,Michigan,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00015,Andrea,Calderon,IT,IT Support Specialist,Michigan,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00016,Nicole,Ward,Operations,Logistics Coordinator,New York,2021-12-31,2021,Excellent,5.0,
EMP00016,Nicole,Ward,Operations,Logistics Coordinator,New York,2022-12-31,2022,Excellent,4.7,-0.3
EMP00016,Nicole,Ward,Operations,Logistics Coordinator,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00017,Janet,Williams,Operations,Inventory Specialist,Michigan,2021-12-31,2021,Poor,1.0,
EMP00017,Janet,Williams,Operations,Inventory Specialist,Michigan,2022-12-31,2022,Poor,1.0,0.0
EMP00017,Janet,Williams,Operations,Inventory Specialist,Michigan,2023-12-31,2023,Poor,1.0,0.0
EMP00018,Kendra,Galloway,Sales,Sales Manager,New York,2021-12-31,2021,Poor,1.4,
EMP00018,Kendra,Galloway,Sales,Sales Manager,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00018,Kendra,Galloway,Sales,Sales Manager,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00019,Jesse,Garcia,Customer Service,Customer Service Representative,New York,2021-12-31,2021,Good,4.4,
EMP00019,Jesse,Garcia,Customer Service,Customer Service Representative,New York,2022-12-31,2022,Good,3.7,-0.7
EMP00019,Jesse,Garcia,Customer Service,Customer Service Representative,New York,2023-12-31,2023,Excellent,5.0,1.3
EMP00020,Shawn,Flowers,IT,IT Support Specialist,Michigan,2021-12-31,2021,Poor,1.0,
EMP00020,Shawn,Flowers,IT,IT Support Specialist,Michigan,2022-12-31,2022,Poor,1.0,0.0
EMP00020,Shawn,Flowers,IT,IT Support Specialist,Michigan,2023-12-31,2023,Poor,1.0,0.0
EMP00021,Mitchell,Clark,Customer Service,Support Specialist,New York,2021-12-31,2021,Poor,1.4,
EMP00021,Mitchell,Clark,Customer Service,Support Specialist,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00021,Mitchell,Clark,Customer Service,Support Specialist,New York,2023-12-31,2023,Poor,1.0,-0.7
EMP00022,Jacqueline,Sutton,Sales,Sales Manager,New York,2021-12-31,2021,Poor,1.4,
EMP00022,Jacqueline,Sutton,Sales,Sales Manager,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00022,Jacqueline,Sutton,Sales,Sales Manager,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00023,Chelsea,Jackson,Sales,Sales Specialist,North Carolina,2021-12-31,2021,Good,4.4,
EMP00023,Chelsea,Jackson,Sales,Sales Specialist,North Carolina,2022-12-31,2022,Excellent,4.7,0.3
EMP00023,Chelsea,Jackson,Sales,Sales Specialist,North Carolina,2023-12-31,2023,Excellent,5.0,0.3
EMP00024,John,Ford,Sales,Sales Consultant,Pennsylvania,2021-12-31,2021,Good,4.4,
EMP00024,John,Ford,Sales,Sales Consultant,Pennsylvania,2022-12-31,2022,Excellent,4.7,0.3
EMP00024,John,Ford,Sales,Sales Consultant,Pennsylvania,2023-12-31,2023,Excellent,5.0,0.3
EMP00025,Veronica,Bowman,Operations,Logistics Coordinator,New York,2021-12-31,2021,Poor,1.0,
EMP00025,Veronica,Bowman,Operations,Logistics Coordinator,New York,2022-12-31,2022,Needs Improvement,1.7,0.7
EMP00025,Veronica,Bowman,Operations,Logistics Coordinator,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00026,Jeffrey,Nguyen,Operations,Inventory Specialist,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00026,Jeffrey,Nguyen,Operations,Inventory Specialist,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00026,Jeffrey,Nguyen,Operations,Inventory Specialist,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00027,Kimberly,Perez,Marketing,Content Creator,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00027,Kimberly,Perez,Marketing,Content Creator,New York,2022-12-31,2022,Good,3.7,1.3
EMP00027,Kimberly,Perez,Marketing,Content Creator,New York,2023-12-31,2023,Good,4.0,0.3
EMP00028,Linda,Morales,Sales,Sales Specialist,New York,2021-12-31,2021,Poor,1.4,
EMP00028,Linda,Morales,Sales,Sales Specialist,New York,2022-12-31,2022,Poor,1.0,-0.4
EMP00028,Linda,Morales,Sales,Sales Specialist,New York,2023-12-31,2023,Poor,1.0,0.0
EMP00029,Jason,Hahn,IT,System Administrator,Ohio,2021-12-31,2021,Good,4.4,
EMP00029,Jason,Hahn,IT,System Administrator,Ohio,2022-12-31,2022,Excellent,4.7,0.3
EMP00029,Jason,Hahn,IT,System Administrator,Ohio,2023-12-31,2023,Excellent,5.0,0.3
EMP00030,Jennifer,Lewis,Sales,Sales Specialist,New York,2021-12-31,2021,Satisfactory,3.4,
EMP00030,Jennifer,Lewis,Sales,Sales Specialist,New York,2022-12-31,2022,Satisfactory,2.7,-0.7
EMP00030,Jennifer,Lewis,Sales,Sales Specialist,New York,2023-12-31,2023,Good,4.0,1.3
EMP00031,Randall,Rocha,IT,IT Support Specialist,New York,2021-12-31,2021,Poor,1.0,
EMP00031,Randall,Rocha,IT,IT Support Specialist,New York,2022-12-31,2022,Poor,1.0,0.0
EMP00031,Randall,Rocha,IT,IT Support Specialist,New York,2023-12-31,2023,Poor,1.0,0.0
EMP00032,Douglas,Taylor,Customer Service,Customer Service Representative,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00032,Douglas,Taylor,Customer Service,Customer Service Representative,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00032,Douglas,Taylor,Customer Service,Customer Service Representative,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00033,Anna,Baker,Sales,Sales Specialist,New York,2021-12-31,2021,Poor,1.4,
EMP00033,Anna,Baker,Sales,Sales Specialist,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00033,Anna,Baker,Sales,Sales Specialist,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00034,Ross,Silva,Sales,Sales Specialist,New York,2021-12-31,2021,Satisfactory,3.4,
EMP00034,Ross,Silva,Sales,Sales Specialist,New York,2022-12-31,2022,Excellent,4.7,1.3
EMP00034,Ross,Silva,Sales,Sales Specialist,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00035,Jeffrey,Bright,Finance,Accounts Payable Specialist,New York,2021-12-31,2021,Excellent,5.0,
EMP00035,Jeffrey,Bright,Finance,Accounts Payable Specialist,New York,2022-12-31,2022,Excellent,4.7,-0.3
EMP00035,Jeffrey,Bright,Finance,Accounts Payable Specialist,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00036,Trevor,Campos,Operations,Operations Analyst,New York,2021-12-31,2021,Excellent,5.0,
EMP00036,Trevor,Campos,Operations,Operations Analyst,New York,2022-12-31,2022,Excellent,4.7,-0.3
EMP00036,Trevor,Campos,Operations,Operations Analyst,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00037,Daniel,Burton,IT,Software Developer,New York,2021-12-31,2021,Poor,1.4,
EMP00037,Daniel,Burton,IT,Software Developer,New York,2022-12-31,2022,Satisfactory,2.7,1.3
EMP00037,Daniel,Burton,IT,Software Developer,New York,2023-12-31,2023,Needs Improvement,2.0,-0.7
EMP00038,Erin,Carlson,Operations,Logistics Coordinator,New York,2021-12-31,2021,Good,4.4,
EMP00038,Erin,Carlson,Operations,Logistics Coordinator,New York,2022-12-31,2022,Good,3.7,-0.7
EMP00038,Erin,Carlson,Operations,Logistics Coordinator,New York,2023-12-31,2023,Good,4.0,0.3
EMP00039,Patrick,Ferrell,Sales,Sales Consultant,Michigan,2021-12-31,2021,Satisfactory,3.4,
EMP00039,Patrick,Ferrell,Sales,Sales Consultant,Michigan,2022-12-31,2022,Needs Improvement,1.7,-1.7
EMP00039,Patrick,Ferrell,Sales,Sales Consultant,Michigan,2023-12-31,2023,Satisfactory,3.0,1.3
EMP00040,John,Tran,Operations,Logistics Coordinator,Virginia,2021-12-31,2021,Poor,1.0,
EMP00040,John,Tran,Operations,Logistics Coordinator,Virginia,2022-12-31,2022,Poor,1.0,0.0
EMP00040,John,Tran,Operations,Logistics Coordinator,Virginia,2023-12-31,2023,Needs Improvement,2.0,1.0
EMP00041,Erin,Wilson,Operations,Logistics Coordinator,New York,2021-12-31,2021,Poor,1.0,
EMP00041,Erin,Wilson,Operations,Logistics Coordinator,New York,2022-12-31,2022,Needs Improvement,1.7,0.7
EMP00041,Erin,Wilson,Operations,Logistics Coordinator,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00042,Amanda,Adams,Sales,Sales Specialist,New York,2021-12-31,2021,Poor,1.0,
EMP00042,Amanda,Adams,Sales,Sales Specialist,New York,2022-12-31,2022,Poor,1.0,0.0
EMP00042,Amanda,Adams,Sales,Sales Specialist,New York,2023-12-31,2023,Poor,1.0,0.0
EMP00043,Matthew,Carter,Marketing,SEO Specialist,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00043,Matthew,Carter,Marketing,SEO Specialist,New York,2022-12-31,2022,Needs Improvement,1.7,-0.7
EMP00043,Matthew,Carter,Marketing,SEO Specialist,New York,2023-12-31,2023,Satisfactory,3.0,1.3
EMP00044,Shawn,Mckay,Operations,Inventory Specialist,New York,2021-12-31,2021,Good,4.4,
EMP00044,Shawn,Mckay,Operations,Inventory Specialist,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00044,Shawn,Mckay,Operations,Inventory Specialist,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00045,Jennifer,Stanton,Customer Service,Support Specialist,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00045,Jennifer,Stanton,Customer Service,Support Specialist,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00045,Jennifer,Stanton,Customer Service,Support Specialist,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00046,Guy,Gaines,Sales,Sales Representative,New York,2021-12-31,2021,Good,4.4,
EMP00046,Guy,Gaines,Sales,Sales Representative,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00046,Guy,Gaines,Sales,Sales Representative,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00047,Colleen,Skinner,Operations,Inventory Specialist,New York,2021-12-31,2021,Satisfactory,3.4,
EMP00047,Colleen,Skinner,Operations,Inventory Specialist,New York,2022-12-31,2022,Excellent,4.7,1.3
EMP00047,Colleen,Skinner,Operations,Inventory Specialist,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00048,Chelsea,Hernandez,Sales,Sales Consultant,Pennsylvania,2021-12-31,2021,Poor,1.0,
EMP00048,Chelsea,Hernandez,Sales,Sales Consultant,Pennsylvania,2022-12-31,2022,Poor,1.0,0.0
EMP00048,Chelsea,Hernandez,Sales,Sales Consultant,Pennsylvania,2023-12-31,2023,Poor,1.0,0.0
EMP00049,Evan,Ashley,Operations,Inventory Specialist,New York,2021-12-31,2021,Poor,1.4,
EMP00049,Evan,Ashley,Operations,Inventory Specialist,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00049,Evan,Ashley,Operations,Inventory Specialist,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00050,Alyssa,Smith,Customer Service,Customer Service Representative,Michigan,2021-12-31,2021,Poor,1.4,
EMP00050,Alyssa,Smith,Customer Service,Customer Service Representative,Michigan,2022-12-31,2022,Poor,1.0,-0.4
EMP00050,Alyssa,Smith,Customer Service,Customer Service Representative,Michigan,2023-12-31,2023,Needs Improvement,2.0,1.0
EMP00051,Tracy,Rodriguez,Marketing,SEO Specialist,New York,2021-12-31,2021,Poor,1.0,
EMP00051,Tracy,Rodriguez,Marketing,SEO Specialist,New York,2022-12-31,2022,Poor,1.0,0.0
EMP00051,Tracy,Rodriguez,Marketing,SEO Specialist,New York,2023-12-31,2023,Poor,1.0,0.0
EMP00052,Natasha,Decker,Sales,Sales Consultant,New York,2021-12-31,2021,Poor,1.4,
EMP00052,Natasha,Decker,Sales,Sales Consultant,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00052,Natasha,Decker,Sales,Sales Consultant,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00053,John,Allen,Operations,Logistics Coordinator,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00053,John,Allen,Operations,Logistics Coordinator,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00053,John,Allen,Operations,Logistics Coordinator,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00054,Stacey,Miller,Operations,Inventory Specialist,New York,2021-12-31,2021,Poor,1.4,
EMP00054,Stacey,Miller,Operations,Inventory Specialist,New York,2022-12-31,2022,Satisfactory,2.7,1.3
EMP00054,Stacey,Miller,Operations,Inventory Specialist,New York,2023-12-31,2023,Needs Improvement,2.0,-0.7
EMP00055,Lisa,Spence,IT,Software Developer,New York,2021-12-31,2021,Satisfactory,3.4,
EMP00055,Lisa,Spence,IT,Software Developer,New York,2022-12-31,2022,Excellent,4.7,1.3
EMP00055,Lisa,Spence,IT,Software Developer,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00056,Katie,Anderson,Operations,Logistics Coordinator,New York,2021-12-31,2021,Excellent,5.0,
EMP00056,Katie,Anderson,Operations,Logistics Coordinator,New York,2022-12-31,2022,Excellent,4.7,-0.3
EMP00056,Katie,Anderson,Operations,Logistics Coordinator,New York,2023-12-31,2023,Good,4.0,-0.7
EMP00057,Stacey,Martin,Operations,Inventory Specialist,New York,2021-12-31,2021,Satisfactory,3.4,
EMP00057,Stacey,Martin,Operations,Inventory Specialist,New York,2022-12-31,2022,Good,3.7,0.3
EMP00057,Stacey,Martin,Operations,Inventory Specialist,New York,2023-12-31,2023,Excellent,5.0,1.3
EMP00058,Monique,Henderson,Customer Service,Help Desk Technician,New York,2021-12-31,2021,Good,4.4,
EMP00058,Monique,Henderson,Customer Service,Help Desk Technician,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00058,Monique,Henderson,Customer Service,Help Desk Technician,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00059,Sarah,Campos,Marketing,Content Creator,Pennsylvania,2021-12-31,2021,Good,4.4,
EMP00059,Sarah,Campos,Marketing,Content Creator,Pennsylvania,2022-12-31,2022,Excellent,4.7,0.3
EMP00059,Sarah,Campos,Marketing,Content Creator,Pennsylvania,2023-12-31,2023,Excellent,5.0,0.3
EMP00060,James,Collins,Operations,Inventory Specialist,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00060,James,Collins,Operations,Inventory Specialist,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00060,James,Collins,Operations,Inventory Specialist,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00061,Debra,Kim,Sales,Sales Specialist,Pennsylvania,2021-12-31,2021,Poor,1.0,
EMP00061,Debra,Kim,Sales,Sales Specialist,Pennsylvania,2022-12-31,2022,Poor,1.0,0.0
EMP00061,Debra,Kim,Sales,Sales Specialist,Pennsylvania,2023-12-31,2023,Poor,1.0,0.0
EMP00062,Shannon,Wright,Operations,Inventory Specialist,Michigan,2021-12-31,2021,Satisfactory,3.4,
EMP00062,Shannon,Wright,Operations,Inventory Specialist,Michigan,2022-12-31,2022,Good,3.7,0.3
EMP00062,Shannon,Wright,Operations,Inventory Specialist,Michigan,2023-12-31,2023,Good,4.0,0.3
EMP00063,Matthew,Chapman,IT,Software Developer,New York,2021-12-31,2021,Good,4.4,
EMP00063,Matthew,Chapman,IT,Software Developer,New York,2022-12-31,2022,Good,3.7,-0.7
EMP00063,Matthew,Chapman,IT,Software Developer,New York,2023-12-31,2023,Excellent,5.0,1.3
EMP00064,Brianna,Smith,Operations,Inventory Specialist,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00064,Brianna,Smith,Operations,Inventory Specialist,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00064,Brianna,Smith,Operations,Inventory Specialist,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00065,Crystal,Perez,Finance,Financial Analyst,New York,2021-12-31,2021,Satisfactory,3.4,
EMP00065,Crystal,Perez,Finance,Financial Analyst,New York,2022-12-31,2022,Excellent,4.7,1.3
EMP00065,Crystal,Perez,Finance,Financial Analyst,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00066,Anthony,Rivera,Operations,Logistics Coordinator,New York,2021-12-31,2021,Poor,1.4,
EMP00066,Anthony,Rivera,Operations,Logistics Coordinator,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00066,Anthony,Rivera,Operations,Logistics Coordinator,New York,2023-12-31,2023,Satisfactory,3.0,1.3
EMP00067,John,Caldwell,Operations,Operations Analyst,New York,2021-12-31,2021,Poor,1.4,
EMP00067,John,Caldwell,Operations,Operations Analyst,New York,2022-12-31,2022,Poor,1.0,-0.4
EMP00067,John,Caldwell,Operations,Operations Analyst,New York,2023-12-31,2023,Poor,1.0,0.0
EMP00068,Amber,Cummings,Operations,Operations Analyst,New York,2021-12-31,2021,Poor,1.4,
EMP00068,Amber,Cummings,Operations,Operations Analyst,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00068,Amber,Cummings,Operations,Operations Analyst,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00069,Ashley,Kennedy,Finance,Accountant,New York,2021-12-31,2021,Poor,1.0,
EMP00069,Ashley,Kennedy,Finance,Accountant,New York,2022-12-31,2022,Poor,1.0,0.0
EMP00069,Ashley,Kennedy,Finance,Accountant,New York,2023-12-31,2023,Poor,1.0,0.0
EMP00070,Thomas,Russell,Finance,Accountant,New York,2021-12-31,2021,Good,4.4,
EMP00070,Thomas,Russell,Finance,Accountant,New York,2022-12-31,2022,Good,3.7,-0.7
EMP00070,Thomas,Russell,Finance,Accountant,New York,2023-12-31,2023,Good,4.0,0.3
EMP00071,Collin,Jordan,Sales,Sales Specialist,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00071,Collin,Jordan,Sales,Sales Specialist,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00071,Collin,Jordan,Sales,Sales Specialist,New York,2023-12-31,2023,Needs Improvement,2.0,-0.7
EMP00072,Robert,Shields,Customer Service,Help Desk Technician,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00072,Robert,Shields,Customer Service,Help Desk Technician,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00072,Robert,Shields,Customer Service,Help Desk Technician,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00073,Emily,Joyce,Operations,Inventory Specialist,New York,2021-12-31,2021,Good,4.4,
EMP00073,Emily,Joyce,Operations,Inventory Specialist,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00073,Emily,Joyce,Operations,Inventory Specialist,New York,2023-12-31,2023,Good,4.0,-0.7
EMP00074,Bruce,Chandler,Operations,Inventory Specialist,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00074,Bruce,Chandler,Operations,Inventory Specialist,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00074,Bruce,Chandler,Operations,Inventory Specialist,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00075,Michelle,Wright,Operations,Operations Manager,New York,2021-12-31,2021,Poor,1.4,
EMP00075,Michelle,Wright,Operations,Operations Manager,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00075,Michelle,Wright,Operations,Operations Manager,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00076,Amanda,Taylor,Finance,Financial Analyst,New York,2021-12-31,2021,Poor,1.0,
EMP00076,Amanda,Taylor,Finance,Financial Analyst,New York,2022-12-31,2022,Poor,1.0,0.0
EMP00076,Amanda,Taylor,Finance,Financial Analyst,New York,2023-12-31,2023,Needs Improvement,2.0,1.0
EMP00077,Joshua,Wright,Finance,Accountant,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00077,Joshua,Wright,Finance,Accountant,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00077,Joshua,Wright,Finance,Accountant,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00078,Charles,Morton,Finance,Accountant,New York,2021-12-31,2021,Poor,1.4,
EMP00078,Charles,Morton,Finance,Accountant,New York,2022-12-31,2022,Poor,1.0,-0.4
EMP00078,Charles,Morton,Finance,Accountant,New York,2023-12-31,2023,Satisfactory,3.0,2.0
EMP00079,Andrea,Williams,Operations,Inventory Specialist,New York,2021-12-31,2021,Poor,1.4,
EMP00079,Andrea,Williams,Operations,Inventory Specialist,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00079,Andrea,Williams,Operations,Inventory Specialist,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00080,Mary,Novak,Operations,Logistics Coordinator,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00080,Mary,Novak,Operations,Logistics Coordinator,New York,2022-12-31,2022,Poor,1.0,-1.4
EMP00080,Mary,Novak,Operations,Logistics Coordinator,New York,2023-12-31,2023,Needs Improvement,2.0,1.0
EMP00081,Karen,Young,IT,IT Support Specialist,New York,2021-12-31,2021,Good,4.4,
EMP00081,Karen,Young,IT,IT Support Specialist,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00081,Karen,Young,IT,IT Support Specialist,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00082,Todd,Lewis,Operations,Logistics Coordinator,Ohio,2021-12-31,2021,Poor,1.4,
EMP00082,Todd,Lewis,Operations,Logistics Coordinator,Ohio,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00082,Todd,Lewis,Operations,Logistics Coordinator,Ohio,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00083,Rachel,Martin,Sales,Sales Consultant,New York,2021-12-31,2021,Good,4.4,
EMP00083,Rachel,Martin,Sales,Sales Consultant,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00083,Rachel,Martin,Sales,Sales Consultant,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00084,Tricia,Baker,Customer Service,Customer Service Representative,New York,2021-12-31,2021,Poor,1.4,
EMP00084,Tricia,Baker,Customer Service,Customer Service Representative,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00084,Tricia,Baker,Customer Service,Customer Service Representative,New York,2023-12-31,2023,Poor,1.0,-0.7
EMP00085,Kristen,Mitchell,Operations,Logistics Coordinator,North Carolina,2021-12-31,2021,Poor,1.0,
EMP00085,Kristen,Mitchell,Operations,Logistics Coordinator,North Carolina,2022-12-31,2022,Poor,1.0,0.0
EMP00085,Kristen,Mitchell,Operations,Logistics Coordinator,North Carolina,2023-12-31,2023,Poor,1.0,0.0
EMP00086,Susan,Cowan,Sales,Sales Manager,New York,2021-12-31,2021,Satisfactory,3.4,
EMP00086,Susan,Cowan,Sales,Sales Manager,New York,2022-12-31,2022,Excellent,4.7,1.3
EMP00086,Susan,Cowan,Sales,Sales Manager,New York,2023-12-31,2023,Good,4.0,-0.7
